destination,airport_name,state,region,delayed_time,pct_greater,total_flights
IDA,Idaho Falls Regional,Idaho,West,30.79090909090909,0.13818181818181818,2120
ILM,Wilmington International,North Carolina,South,34.933938893476466,0.1717588769611891,6877
IMT,Ford,Michigan,Midwest,56.536,0.264,678
IND,Indianapolis International,Indiana,Midwest,39.294799097616,0.19267117858667154,49132
INL,Falls International Einarson Field,Minnesota,Midwest,40.90909090909091,0.2644628099173554,648
ISN,Sloulin Field International,North Dakota,Midwest,57.794642857142854,0.19642857142857142,633
ISP,Long Island MacArthur,New York,Northeast,39.88675429726997,0.2103134479271992,5561
ITH,Ithaca Tompkins Regional,New York,Northeast,56.55769230769231,0.31153846153846154,999
ITO,Hilo International,Hawaii,West,11.665733482642777,0.026875699888017916,6115
JAC,Jackson Hole,Wyoming,West,44.98704358068316,0.19199057714958775,4585
JAN,Jackson Medgar Wiley Evers International,Mississippi,South,41.2783793223891,0.20293398533007334,8199
JAX,Jacksonville International,Florida,South,38.59028556638771,0.18522991976533518,33939
JFK,John F. Kennedy International,New York,Northeast,53.739419695934835,0.25686170347322357,122965
JLN,Joplin Regional,Missouri,Midwest,34.77495107632094,0.15851272015655576,1387
JMS,Jamestown Regional,North Dakota,Midwest,91.3671875,0.3125,990
JNU,Juneau International,Alaska,West,26.238524590163934,0.1040983606557377,4515
KOA,Ellison Onizuka Kona International at Keahole,Hawaii,West,20.871806466199413,0.06760117567262039,15484
KTN,Ketchikan International,Alaska,West,27.51851851851852,0.12,2383
LAN,Capital Region International,Michigan,Midwest,45.979789103690685,0.2179261862917399,3287
LAR,Laramie Regional,Wyoming,West,81.3731343283582,0.2537313432835821,626
LAS,McCarran International,Nevada,West,33.51019385604202,0.15275234113134525,164043
LAW,Lawton-Fort Sill Regional,Oklahoma,South,28.857142857142858,0.12394957983193278,1334
LAX,Los Angeles International,California,West,36.509010005334446,0.15315057442849894,219996
LBB,Lubbock Preston Smith International,Texas,South,39.329652996845425,0.1892744479495268,7099
LBE,Arnold Palmer Regional,Pennsylvania,Northeast,47.113259668508285,0.24033149171270718,1119
LBF,North Platte Regional Airport Lee Bird Field,Nebraska,Midwest,64.74242424242425,0.25757575757575757,626
LBL,Liberal Mid-America Regional,Kansas,Midwest,52.19886363636363,0.24431818181818182,625
LCH,Lake Charles Regional,Louisiana,South,37.031722054380666,0.1646525679758308,1976
LCK,Rickenbacker International,Ohio,Midwest,40.63705583756345,0.18527918781725888,1033
LEX,Blue Grass,Kentucky,South,42.16179704681119,0.2038956958843858,9153
LFT,Lafayette Regional Paul Fournet Field,Louisiana,South,43.64251207729468,0.21014492753623187,5229
LGA,LaGuardia,New York,Northeast,55.415378735763966,0.29294504318581366,171665
LGB,Long Beach Airport,California,West,35.77671678179602,0.16111336854937017,15817
LIH,Lihue Airport,Hawaii,West,20.044071856287424,0.0704191616766467,14064
LIT,Bill and Hillary Clinton Nat Adams Field,Arkansas,South,33.21144182450715,0.15403942790877465,14261
LNK,Lincoln Airport,Nebraska,Midwest,44.945872801082544,0.2259810554803789,2212
LRD,Laredo International,Texas,South,39.73372093023256,0.1755813953488372,2674
LSE,La Crosse Regional,Wisconsin,Midwest,42.86029411764706,0.19558823529411765,2199
LWB,Greenbrier Valley,West Virginia,South,55.125506072874494,0.29554655870445345,665
LWS,Lewiston Nez Perce County,Idaho,West,33.86614173228347,0.15748031496062992,992
LYH,Lynchburg Regional/Preston Glenn Field,Virginia,South,31.371929824561402,0.16842105263157894,916
MAF,Midland International Air and Space Port,Texas,South,41.058372641509436,0.19722877358490565,9619
MBS,MBS International,Michigan,Midwest,57.65181058495822,0.24373259052924792,2567
MCI,Kansas City International,Missouri,Midwest,33.92038626609442,0.15713519313304722,54964
MCO,Orlando International,Florida,South,41.89880392994447,0.20284066638188808,136286
MDT,Harrisburg International,Pennsylvania,Northeast,38.35136476426799,0.169727047146402,6291
MDW,Chicago Midway International,Illinois,Midwest,29.602765819650273,0.1288811002323898,83559
MEI,Key Field,Mississippi,South,65.18925831202046,0.319693094629156,976
MEM,Memphis International,Tennessee,South,37.13448881088197,0.1761737604212374,25807
MFE,McAllen Miller International,Texas,South,39.20048661800487,0.19610705596107056,5595
MFR,Rogue Valley International - Medford,Oregon,West,48.02029664324746,0.24434035909445745,4066
MGM,Montgomery Regional,Alabama,South,43.36065573770492,0.20534943917169973,3721
MHK,Manhattan Regional,Kansas,Midwest,36.15084525357607,0.18725617685305593,1983
MHT,Manchester-Boston Regional,New Hampshire,Northeast,37.287841191066995,0.19106699751861042,8136
MIA,Miami International,Florida,South,41.06320204230489,0.17968636032093363,85818
MKE,General Mitchell International,Wisconsin,Midwest,37.866351606805296,0.19243856332703213,30893
MKG,Muskegon County,Michigan,Midwest,50.78041543026706,0.21364985163204747,727
MLB,Melbourne International,Florida,South,28.687654320987654,0.12839506172839507,2617
MLI,Quad City International,Illinois,Midwest,42.98016634676903,0.2143314139475368,4832
MLU,Monroe Regional,Louisiana,South,42.29327453142227,0.20176405733186328,2939
MMH,Mammoth Lakes Airport,California,West,63.15384615384615,0.2857142857142857,568
MOB,Mobile Regional,Alabama,South,44.96206706981858,0.22100054975261132,5429
MOT,Minot International,North Dakota,Midwest,47.92739273927393,0.18811881188118812,2286
MQT,Sawyer International,Michigan,Midwest,88.64142538975501,0.26280623608017817,1412
MRY,Monterey Regional,California,West,48.55167286245353,0.24386617100371746,4299
MSN,Dane County Regional-Truax Field,Wisconsin,Midwest,40.29662052117264,0.19177524429967427,14051
MSO,Missoula International,Montana,West,36.335604770017035,0.1465076660988075,3518
MSP,Minneapolis-St Paul International,Minnesota,Midwest,43.82786405874326,0.18931271254359175,160934
MSY,Louis Armstrong New Orleans International,Louisiana,South,35.58862592370681,0.16796484921110447,58167
MTJ,Montrose Regional,Colorado,West,34.33751743375174,0.17154811715481172,1839
MVY,Martha's Vineyard Airport,Massachusetts,Northeast,41.2710843373494,0.20481927710843373,552
MYR,Myrtle Beach International,South Carolina,South,37.45967330270546,0.17023991832567636,11790
OAJ,Albert J Ellis,North Carolina,South,36.14536082474227,0.18453608247422681,2869
OAK,Metropolitan Oakland International,California,West,28.513135153819565,0.12103929024081116,53023
OGD,Ogden-Hinckley,Utah,West,22.08695652173913,0.08695652173913043,105
OGG,Kahului Airport,Hawaii,West,24.28079231692677,0.09099639855942376,27323
OGS,Ogdensburg International,New York,Northeast,95.69277108433735,0.37349397590361444,530
OKC,Will Rogers World,Oklahoma,South,38.89059605535578,0.18775198866732049,24130
OMA,Eppley Airfield,Nebraska,Midwest,35.93429610847757,0.16701576452430825,25958
OME,Nome Airport,Alaska,West,18.29268292682927,0.06097560975609756,722
ONT,Ontario International,California,West,31.69391683778234,0.1487422997946612,22613
ORD,Chicago O'Hare International,Illinois,Midwest,55.1056529537696,0.254444912837553,338801
ORF,Norfolk International,Virginia,South,41.017428439519854,0.20740997229916897,24745
ORH,Worcester Regional,Massachusetts,Northeast,56.71364653243848,0.29082774049217003,1240
OTH,Southwest Oregon Regional,Oregon,West,53.11333333333334,0.28,383
OTZ,Ralph Wien Memorial,Alaska,West,22.624309392265193,0.06629834254143646,720
OWB,Owensboro Daviess County Regional,Kentucky,South,37.44736842105263,0.15789473684210525,102
PAE,Snohomish County,Washington,West,30.72473867595819,0.13414634146341464,1626
PAH,Barkley Regional,Kentucky,South,61.544843049327355,0.2533632286995516,1296
PBG,Plattsburgh International,New York,Northeast,72.89782608695653,0.25869565217391305,1360
PBI,Palm Beach International,Florida,South,43.58894256575416,0.2135265700483092,26066
PDX,Portland International,Oregon,West,29.279152459814906,0.12781295664880662,62444
PGD,Punta Gorda Airport,Florida,South,49.214864221057645,0.20438303954263934,5355
PGV,Pitt Greenville,North Carolina,South,32.25,0.25,80
PHF,Newport News/Williamsburg International,Virginia,South,37.054474708171206,0.191958495460441,2512
PHL,Philadelphia International,Pennsylvania,Northeast,46.16476698100314,0.22968429684296843,117658
PHX,Phoenix Sky Harbor International,Arizona,West,35.18987531670889,0.1447859714628617,175343
PIA,General Downing - Peoria International,Illinois,Midwest,41.28417721518987,0.1981012658227848,4683
PIB,Hattiesburg-Laurel Regional,Mississippi,South,67.91269841269842,0.3531746031746032,709
PIE,St Pete Clearwater International,Florida,South,49.68454391891892,0.23099662162162163,7726
PIH,Pocatello Regional,Idaho,West,42.87134502923977,0.25146198830409355,1090
PIR,Pierre Regional,South Dakota,Midwest,66.3586956521739,0.32608695652173914,659
PIT,Pittsburgh International,Pennsylvania,Northeast,39.68312630672734,0.20040585413848236,50393
PLN,Pellston Regional Airport of Emmet County,Michigan,Midwest,71.66265060240964,0.2971887550200803,1086
PNS,Pensacola International,Florida,South,35.83549222797927,0.16558721934369602,12609
PRC,Prescott Regional Ernest A Love Field,Arizona,West,44.87391304347826,0.26956521739130435,737
PSC,Tri Cities,Washington,West,50.87340301974449,0.2218350754936121,2999
PSG,Petersburg James A Johnson,Alaska,West,27.329787234042552,0.09574468085106383,724
PSM,Portsmouth International at Pease,New Hampshire,Northeast,35.796875,0.140625,425
PSP,Palm Springs International,California,West,38.477892325315004,0.18258877434135165,12284
PUB,Pueblo Memorial,Colorado,West,51.757246376811594,0.2028985507246377,938
PVD,Theodore Francis Green State,Rhode Island,Northeast,38.65061025223759,0.19723352318958504,18156
PVU,Provo Municipal,Utah,West,35.57201646090535,0.13580246913580246,730
PWM,Portland International Jetport,Maine,Northeast,44.56015424164524,0.21876606683804628,11144
RAP,Rapid City Regional,South Dakota,Midwest,43.378680800942284,0.19316843345111898,5041
RDD,Redding Municipal,California,West,51.39165009940358,0.23856858846918488,1391
RDM,Roberts Field,Oregon,West,44.90551776266062,0.22071050642479215,3990
RDU,Raleigh-Durham International,North Carolina,South,40.321863665953686,0.20050218543662235,63999
RFD,Chicago/Rockford International,Illinois,Midwest,29.888429752066116,0.11983471074380166,749
RHI,Rhinelander/Oneida County,Wisconsin,Midwest,63.87978142076503,0.1912568306010929,806
RIC,Richmond International,Virginia,South,42.87277079593058,0.21292639138240574,24806
RKS,Southwest Wyoming Regional,Wyoming,West,52.580786026200876,0.2576419213973799,735
RNO,Reno/Tahoe International,Nevada,West,33.27820133810487,0.15139256262641979,20022
ROA,Roanoke Blacksburg Regional Woodrum Field,Virginia,South,39.967667436489606,0.18937644341801385,2888
ROC,Greater Rochester International,New York,Northeast,42.8545123431809,0.21772561715904493,14587
ROW,Roswell International Air Center,New Mexico,West,40.16976127320955,0.129973474801061,1384
RST,Rochester International,Minnesota,Midwest,41.62187769164513,0.1843238587424634,3460
RSW,Southwest Florida International,Florida,South,39.92557388809182,0.1836441893830703,34472
SAF,Santa Fe Municipal,New Mexico,West,34.8937784522003,0.165402124430956,1798
SAN,San Diego International,California,West,28.79878629224179,0.11925868633983817,93484
SAT,San Antonio International,Texas,South,34.138578105084264,0.16067129301798613,40725
SAV,Savannah/Hilton Head International,Georgia,South,40.383266291230896,0.19694288012872083,17640
SBA,Santa Barbara Municipal,California,West,45.57421114141021,0.21542656797818466,7373
SBN,South Bend International,Indiana,Midwest,53.96182212581345,0.26941431670281996,6985
SBP,San Luis County Regional,California,West,48.90696347031963,0.23573059360730594,5280
SCC,Deadhorse Airport,Alaska,West,22.655870445344128,0.0931174089068826,988
SCE,University Park,Pennsylvania,Northeast,51.30899830220713,0.2733446519524618,1800
SCK,Stockton Metropolitan,California,West,35.4984984984985,0.15315315315315314,1034
SDF,Louisville Muhammad Ali International,Kentucky,South,39.37100371747212,0.1960346964064436,24332
SEA,Seattle/Tacoma International,Washington,West,31.034422666117003,0.12504216167597346,142841
SFB,Orlando Sanford International,Florida,South,44.247185848839884,0.19021364576154376,10637
SFO,San Francisco International,California,West,52.57883970338282,0.266022893070409,170966
SGF,Springfield-Branson National,Missouri,Midwest,34.795398773006134,0.1607361963190184,8628
SGU,St George Regional,Utah,West,32.775028121484816,0.15073115860517436,2601
SHD,Shenandoah Valley Regional,Virginia,South,90.41991341991341,0.3939393939393939,708
SHV,Shreveport Regional,Louisiana,South,39.740848585690514,0.19217970049916805,7095
SIT,Sitka Rocky Gutierrez,Alaska,West,24.00485436893204,0.10436893203883495,1346
SJC,Norman Y. Mineta San Jose International,California,West,28.526190836995504,0.1223922816588372,62777
SJT,San Angelo Regional/Mathis Field,Texas,South,23.892285298398836,0.10334788937409024,1881
SLC,Salt Lake City International,Utah,West,34.919952648045324,0.14371881958341554,115252
SLN,Salina Regional,Kansas,Midwest,79.21885521885523,0.3501683501683502,939
SMF,Sacramento International,California,West,30.184147317854283,0.13170536429143315,51484
SMX,Santa Maria Public/Capt. G. Allan Hancock Field,California,West,18.53846153846154,0.07692307692307693,193
SNA,John Wayne Airport-Orange County,California,West,27.162701908957416,0.10506607929515419,40802
SPI,Abraham Lincoln Capital,Illinois,Midwest,46.68489208633093,0.21151079136690648,1798
SPS,Sheppard AFB/Wichita Falls Municipal,Texas,South,26.320652173913043,0.11413043478260869,1257
SRQ,Sarasota/Bradenton International,Florida,South,36.2185831256675,0.16233535065859736,8433
STC,St. Cloud Regional,Minnesota,Midwest,25.0,0.07272727272727272,136
STL,St Louis Lambert International,Missouri,Midwest,32.52858634370432,0.1496763416162038,68402
STS,Charles M. Schulz - Sonoma County,California,West,42.4775956284153,0.15956284153005465,2731
SUN,Friedman Memorial,Idaho,West,32.18541033434651,0.1398176291793313,1571
SUX,Sioux Gateway Brig Gen Bud Day Field,Iowa,Midwest,28.57388316151203,0.12714776632302405,1345
SWF,New York Stewart International,New York,Northeast,55.36084142394822,0.28640776699029125,1753
SWO,Stillwater Regional,Oklahoma,South,26.039867109634553,0.07973421926910298,879
SYR,Syracuse Hancock International,New York,Northeast,44.10008499787505,0.2288567785805355,14148
TLH,Tallahassee International,Florida,South,33.552399608227226,0.16062683643486778,6575
TOL,Toledo Express,Ohio,Midwest,33.232804232804234,0.15211640211640212,2094
TPA,Tampa International,Florida,South,37.54730730730731,0.18182182182182183,75148
TRI,Tri Cities,Tennessee,South,38.298122065727696,0.18309859154929578,2955
TTN,Trenton Mercer,New Jersey,Northeast,51.80544747081712,0.26361867704280156,3013
TUL,Tulsa International,Oklahoma,South,35.854462391907326,0.16642192853646598,17083
TUS,Tucson International,Arizona,West,34.94443646805456,0.1559224694903087,19307
TVC,Cherry Capital,Michigan,Midwest,43.63585823488534,0.22446143154968728,4333
TWF,Joslin Field - Magic Valley Regional,Idaho,West,52.45273631840796,0.2537313432835821,1040
TXK,Texarkana Regional-Webb Field,Arkansas,South,27.539083557951482,0.1293800539083558,1242
TYR,Tyler Pounds Regional,Texas,South,29.844074844074843,0.1392931392931393,1568
TYS,McGhee Tyson,Tennessee,South,44.97676923076923,0.22338461538461538,18034
UIN,Quincy Regional-Baldwin Field,Illinois,Midwest,72.04587155963303,0.41284403669724773,632
USA,Concord Padgett Regional,North Carolina,South,41.037113402061856,0.177319587628866,1371
VEL,Vernal Regional,Utah,West,48.73372781065089,0.2958579881656805,627
VLD,Valdosta Regional,Georgia,South,35.717213114754095,0.1598360655737705,1035
VPS,Eglin AFB Destin Fort Walton Beach,Florida,South,38.308374083129586,0.1543398533007335,8801
WRG,Wrangell Airport,Alaska,West,24.51076923076923,0.08615384615384615,724
WYS,Yellowstone,Montana,West,16.491525423728813,0.06779661016949153,264
XNA,Northwest Arkansas Regional,Arkansas,South,38.00706785137318,0.18356219709208402,14134
XWA,Williston Basin International,North Dakota,Midwest,55.083333333333336,0.3125,209
YAK,Yakutat Airport,Alaska,West,22.53543307086614,0.06692913385826772,722
YUM,Yuma MCAS/Yuma International,Arizona,West,34.83206106870229,0.1435114503816794,1920
